customer_id,first_name,last_name,email,street,city,state,country
0,Cynthia,Lopez,kgiles@example.net,0047 Robert Square,Port Christopher,New Jersey,Finland
1,Rachel,Phillips,markharper@example.com,835 Kyle Cliff,Michaelfort,Kansas,Panama
2,Tony,Walter,torresmary@example.net,27624 Webb Green,Lake Jeffreyton,Texas,Congo
3,Brett,Smith,shannon78@example.org,2959 Lee Rapid Apt. 405,West Justin,South Dakota,Nigeria
4,Robert,Pitts,gibsonmegan@example.com,45645 Wade Harbor,Port Seantown,Nebraska,Georgia
5,Kathy,Delacruz,jessica77@example.org,07845 Ashley Underpass Suite 492,Clarkland,Colorado,Namibia
6,Jacqueline,Golden,davenportemily@example.com,3904 Anderson Extensions,East Andrew,Wisconsin,Vietnam
7,Andrea,Frye,porterangela@example.org,7509 Simmons Stravenue,East Kimberlyland,Tennessee,American Samoa
8,Claudia,Vaughn,hammondmichael@example.org,16223 Scott Lock,East Megan,Vermont,Togo
9,Tracy,Estrada,npetty@example.net,914 David Wells,North Lisa,Montana,Gibraltar
10,Bobby,Brewer,michelle18@example.com,80241 Richardson Plaza,West Brendaton,North Carolina,South Georgia and the South Sandwich Islands
11,Sherry,Hickman,deborah05@example.net,785 Eric Fork,Annetown,Michigan,Libyan Arab Jamahiriya
12,Sabrina,Mercado,kelseyhunt@example.org,6693 Burgess Plaza Suite 838,Port David,Colorado,Kiribati
13,April,Perez,johnwilliams@example.com,71532 Mark Lake,Christinafurt,Oregon,Jersey
14,Elizabeth,Smith,raven79@example.net,1432 Lee Mission Apt. 477,South Ryanport,Washington,Tunisia
15,Brianna,Thomas,mcguiremisty@example.org,2755 Webb Bypass,South Toni,Arkansas,Germany
16,Patty,Schwartz,steven47@example.org,44987 Knapp Dam Suite 305,Nicoletown,Oklahoma,Tuvalu
17,Matthew,Santiago,melissa32@example.net,9798 Hill Meadows,Brookshaven,South Carolina,Kuwait
18,James,Chung,mccarthybrittany@example.com,4223 Michael Motorway Suite 050,Grahamberg,Oregon,Tuvalu
19,Maria,Collins,ocosta@example.com,63362 Smith Curve,North Lacey,Texas,Saudi Arabia
20,Emily,Day,banksmichael@example.org,82270 Gabrielle Creek Suite 468,Madisonborough,Connecticut,Faroe Islands
21,Gwendolyn,Davenport,jeffrey22@example.com,536 Thomas Garden Apt. 525,South Amandaburgh,Kentucky,Saudi Arabia
22,Nicole,Salinas,santiagowilliam@example.net,5874 Armstrong Station,Brownfort,North Dakota,Faroe Islands
23,Toni,Callahan,ernestadams@example.net,240 Sergio Stream Apt. 093,Port Jerry,Kansas,Mauritania
24,Adam,Frederick,meyertara@example.net,6521 Jesse Square Apt. 196,West Sarah,Tennessee,Guatemala
25,Richard,Hernandez,alexis43@example.com,34586 Eric Junctions,Burtonchester,West Virginia,Belarus
26,Lisa,Rodriguez,raven89@example.com,756 Jennifer Drives Apt. 415,Donaldsonbury,Pennsylvania,Kenya
27,Catherine,Morgan,vbrooks@example.com,649 Richard Creek Suite 055,Melissatown,Colorado,North Macedonia
28,Daniel,Booth,joywoodward@example.net,029 Brown Grove,West Ryanstad,Maryland,Portugal
29,Wesley,Dougherty,patriciabruce@example.org,874 Heather Street,Port Valerieshire,Texas,Austria
30,Howard,French,jcurry@example.org,872 Angela Underpass Suite 934,East Jessica,Alabama,Libyan Arab Jamahiriya
31,Jennifer,Smith,richard05@example.com,680 Sharon Springs,Patrickfort,Arizona,Vanuatu
32,Christopher,Schneider,zbrooks@example.net,2160 Nicholas Stravenue,West Sydney,New Hampshire,Guyana
33,Amber,Martinez,osherman@example.org,4742 Faulkner Motorway Apt. 232,Pennyport,Utah,Trinidad and Tobago
34,John,Moore,robinbennett@example.org,66792 Fleming Loaf Suite 310,East Kimmouth,New York,Maldives
35,Timothy,Robbins,deborah37@example.org,671 Patricia Heights Suite 539,West Carrie,Vermont,Ethiopia
36,Deborah,Williams,james33@example.net,66305 Swanson Cliffs Apt. 443,North Amandafurt,Colorado,Kazakhstan
37,Jeremy,Henry,kathy64@example.net,8802 Martinez Fall Suite 993,West Samanthaburgh,Alabama,Andorra
38,Scott,Berry,josephmartin@example.net,8450 Pamela Forges Apt. 812,North Maria,Georgia,Portugal
39,Joseph,Delgado,srobinson@example.org,3623 Phillips Wells,West Martin,Nevada,Guatemala
40,Spencer,West,jill51@example.com,60424 Jones Terrace Suite 170,Barnettville,Delaware,Belgium
41,Anthony,Tucker,ramirezchristopher@example.net,4493 Austin Village,Wilsonport,Washington,Seychelles
42,Devin,Knight,anthony51@example.org,02465 Brian Mills Suite 915,Jasonmouth,New Hampshire,Switzerland
43,Jennifer,Jennings,karen88@example.com,03753 Mills Ville Suite 716,Connorland,Mississippi,Sierra Leone
44,Sheila,Mason,alexandrawelch@example.org,558 Sanchez Village Suite 702,South Jack,South Dakota,Ireland
45,Curtis,Baker,xphillips@example.net,3276 Anthony Shore,Garciastad,Florida,Kuwait
46,Erika,Rogers,kathyjones@example.net,0389 Herman Cove Suite 642,North Lindseystad,Georgia,Afghanistan
47,Rhonda,Gray,tina23@example.org,2082 William Burgs Apt. 513,Smithtown,Wisconsin,Luxembourg
48,Jessica,Bowers,ashley40@example.com,1378 Jimmy Circle Suite 582,East Jessica,South Dakota,Belgium
49,Matthew,Barrett,elizabethmanning@example.net,466 Mathis Station,New Laura,North Carolina,Botswana
50,Jonathan,Summers,rodneymiller@example.org,34889 Blake Island,East Bailey,Delaware,Nepal
51,Andrea,Harmon,howardvictor@example.net,5319 Lauren Plains Suite 978,East Christinashire,Alaska,Bermuda
52,Stephanie,Estrada,jonathan56@example.org,56391 Tammy Pass Suite 973,West Lisaville,Idaho,Ukraine
53,Brandi,Brown,youngfrank@example.org,92321 Pamela Parkway Apt. 980,East Emily,West Virginia,Suriname
54,Brian,Mcintyre,rosebetty@example.org,7229 Sawyer Crossing Apt. 670,North Jamiemouth,Florida,Tuvalu
55,Francisco,Knapp,diazbrandy@example.com,31928 Ramos Wells Suite 999,Lake Samantha,Ohio,Thailand
56,Jacob,Calderon,guerramarie@example.net,056 Wagner Corner,Stewartchester,Kentucky,Morocco
57,Caleb,Lane,hernandezstephen@example.com,49497 Robert Garden,Lindashire,Iowa,Belarus
58,Karen,Ferguson,mitchellrandy@example.com,99743 Brittany Way,Janetchester,Wyoming,Italy
59,Dominique,Rice,jennifer03@example.org,3943 Madeline Crescent Apt. 331,Port Jonathantown,Nebraska,Cyprus
60,Billy,Lee,jacksonmitchell@example.net,50470 Peterson Loop,Prattview,Texas,Cyprus
61,Ethan,Adams,regina34@example.net,5172 Wang Mountain,Toddtown,Virginia,Honduras
62,Lisa,Jordan,thompsonjim@example.net,9835 Luis Plains Apt. 660,West Elizabethshire,Oregon,Cambodia
63,Gabrielle,Bauer,eric97@example.org,567 Amanda Forks,Wilkinston,Virginia,Suriname
64,Ann,Holder,sroach@example.com,67208 Lisa Fords,Jerrychester,Kentucky,United Kingdom
65,Juan,Clarke,kyliecasey@example.net,068 Barr Prairie Suite 631,North Michael,Virginia,Japan
66,Peter,Reed,pamelafisher@example.net,21056 Davis Key,Levybury,Idaho,Australia
67,Kristen,Peters,vmendoza@example.org,246 Garrison Meadows,North Laurenville,Nevada,Estonia
68,Jorge,Mclaughlin,aaron77@example.com,081 Katherine Points Apt. 948,Walkerfurt,Maine,Guatemala
69,Lisa,Rivera,kimberly28@example.com,9598 Matthew Parkways Suite 837,Danielhaven,Louisiana,Azerbaijan
70,Pam,Watson,rebekah00@example.net,28099 Carolyn Parks Suite 828,New Laura,Maine,Barbados
71,Mark,Melton,simpsonrobert@example.com,2602 Evan Ranch,Lake Deborah,Ohio,Yemen
72,Michael,Sullivan,reyesbeth@example.org,61971 Judy Harbor,Hawkinsshire,North Carolina,Gambia
73,Tina,Gutierrez,dixonian@example.org,80286 Wells Spurs,Kimberlyville,Utah,Mauritania
74,Anthony,Brown,qkennedy@example.org,8996 Troy Wall Suite 692,Tonyashire,Tennessee,Saint Pierre and Miquelon
75,Anthony,Clark,jonesjustin@example.org,2215 Michelle Locks Apt. 928,Josephfurt,Texas,United Arab Emirates
76,James,Hill,aherrera@example.com,278 Joshua Garden Suite 659,Paulport,Vermont,Portugal
77,Johnny,Reed,brandyturner@example.org,60862 Yolanda Radial,West Michelleshire,Vermont,Antarctica (the territory South of 60 deg S)
78,Angela,Ashley,dennisnguyen@example.com,07873 Bowen Passage Suite 194,Bethstad,Kentucky,Swaziland
79,Carla,Decker,hooverscott@example.org,176 Jackie Mills,Port Michael,West Virginia,Turks and Caicos Islands
80,Melissa,Ramirez,jennifer11@example.org,475 Chambers Points Suite 189,South Gabrielle,Pennsylvania,Mauritius
81,Kathryn,Howard,suzannejackson@example.org,10811 Shane Rapid,Port Robert,Massachusetts,Iceland
82,Alexandria,Owen,aanderson@example.org,525 Elliott Islands Apt. 369,New Edward,Florida,Denmark
83,William,Patel,toddmark@example.com,824 King Cliff Apt. 174,South Carrieside,Nebraska,Timor-Leste
84,Jennifer,Jones,johnsalazar@example.org,3180 Jennifer Pass,Brianview,Connecticut,New Caledonia
85,Eric,Mercer,penajessica@example.org,01514 Moore Crossroad Apt. 596,North Alyssa,North Dakota,Costa Rica
86,Darlene,Moody,michaelmedina@example.org,733 Smith Mountain Suite 332,North Christopher,North Carolina,Ukraine
87,April,Phillips,tracey45@example.com,984 Shawn Locks Apt. 287,Wheelerstad,Connecticut,Mongolia
88,Michael,Campbell,drojas@example.com,74387 Cheyenne Wells,North Normanberg,Wisconsin,Sierra Leone
89,Cynthia,Payne,stephaniegolden@example.com,811 Russell Knolls Apt. 347,Port Kyle,Texas,Saint Helena
90,Meghan,Hogan,kaylee07@example.com,2055 Compton Manor,New Matthew,Rhode Island,Mozambique
91,John,Anderson,tiffanyallen@example.org,911 Kelly Trail,Melanieview,North Dakota,Seychelles
92,Danielle,Henry,kelleysusan@example.org,164 Brandon Club Apt. 956,West Michael,Massachusetts,Palau
93,Ryan,Harris,caitlintapia@example.net,5500 Kyle Fork Apt. 322,East Tom,Vermont,Dominica
94,Mark,Myers,josephdavid@example.org,31901 Timothy Fords Suite 336,East Alanburgh,Rhode Island,Poland
